[37m[2021/03/19 18:28:41][CONFIG][initService]  Starting service...
[32m[2021/03/19 18:34:38][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:34:38][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:34:38][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@4728a7a6, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:34:38][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:34:38][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:34:38][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:34:38][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:34:38][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:34:38][INFO][search]  Sanitize input 
[32m[2021/03/19 18:34:38][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%{"dispatchConfig":null,"_targetInst":null,"_dispatchListeners":null,"_dispatchInstances":null,"nativeEvent":null,"type":null,"target":null,"eventPhase":null,"bubbles":null,"cancelable":null,"defaultPrevented":null,"isTrusted":null}%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:34:38][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:34:38][INFO][buildResponse]  Response being built with Result: NO_MOVIE_FOUND
[32m[2021/03/19 18:34:38][INFO][buildResponse]  No movies found with search parameters.
[32m[2021/03/19 18:34:38][INFO][buildResponse]  211
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@61239c69, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:48:27][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:48:27][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:48:27][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:48:27][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:48:27][INFO][search]  Sanitize input 
[32m[2021/03/19 18:48:27][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%{"dispatchConfig":null,"_targetInst":null,"_dispatchListeners":null,"_dispatchInstances":null,"nativeEvent":null,"type":null,"target":null,"eventPhase":null,"bubbles":null,"cancelable":null,"defaultPrevented":null,"isTrusted":null}%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:48:27][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:48:27][INFO][buildResponse]  Response being built with Result: NO_MOVIE_FOUND
[32m[2021/03/19 18:48:27][INFO][buildResponse]  No movies found with search parameters.
[32m[2021/03/19 18:48:27][INFO][buildResponse]  211
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@2602141d, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:50:29][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:50:29][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:50:29][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:50:29][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:50:29][INFO][search]  Sanitize input 
[32m[2021/03/19 18:50:29][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%{"dispatchConfig":null,"_targetInst":null,"_dispatchListeners":null,"_dispatchInstances":null,"nativeEvent":null,"type":null,"target":null,"eventPhase":null,"bubbles":null,"cancelable":null,"defaultPrevented":null,"isTrusted":null}%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:50:29][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:50:29][INFO][buildResponse]  Response being built with Result: NO_MOVIE_FOUND
[32m[2021/03/19 18:50:29][INFO][buildResponse]  No movies found with search parameters.
[32m[2021/03/19 18:50:29][INFO][buildResponse]  211
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@36694ee8, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:51:22][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:51:22][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:51:22][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:51:22][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:51:22][INFO][search]  Sanitize input 
[32m[2021/03/19 18:51:22][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%10%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:51:22][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:51:22][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 18:51:22][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 18:51:22][INFO][buildResponse]  210
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@5c161b65, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:52:48][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:52:48][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:52:48][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:52:48][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:52:48][INFO][search]  Sanitize input 
[32m[2021/03/19 18:52:48][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%10%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:52:48][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:52:48][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 18:52:48][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 18:52:48][INFO][buildResponse]  210
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@3f4c3cc7, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:53:34][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:53:34][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:53:34][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:53:34][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:53:34][INFO][search]  Sanitize input 
[32m[2021/03/19 18:53:34][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%10%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:53:34][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:53:34][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 18:53:34][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 18:53:34][INFO][buildResponse]  210
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@53bd7ed3, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:53:53][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:53:53][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:53:53][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:53:53][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:53:53][INFO][search]  Sanitize input 
[32m[2021/03/19 18:53:53][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%10%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:53:53][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:53:53][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 18:53:53][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 18:53:53][INFO][buildResponse]  210
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@4b7844b1, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:54:57][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:54:57][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:54:57][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:54:57][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:54:57][INFO][search]  Sanitize input 
[32m[2021/03/19 18:54:57][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%10%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:54:57][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:54:57][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 18:54:57][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 18:54:57][INFO][buildResponse]  210
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@4d15da7a, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:56:36][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:56:36][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:56:36][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:56:36][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:56:36][INFO][search]  Sanitize input 
[32m[2021/03/19 18:56:36][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%10%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:56:36][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:56:36][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 18:56:36][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 18:56:36][INFO][buildResponse]  210
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@2162a54e, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 18:57:27][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 18:57:27][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 18:57:27][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 18:57:27][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 18:57:27][INFO][search]  Sanitize input 
[32m[2021/03/19 18:57:27][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%10%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 18:57:27][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 18:57:27][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 18:57:27][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 18:57:27][INFO][buildResponse]  210
[32m[2021/03/19 18:57:28][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 18:57:28][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt9036126', 'tt5792472', 'tt1179933', 'tt2990126', 'tt4126312', 'tt4510398', 'tt3742284', 'tt1993391', 'tt3245656', 'tt3488056')
ORDER BY FIELD(movie_id, 'tt9036126', 'tt5792472', 'tt1179933', 'tt2990126', 'tt4126312', 'tt4510398', 'tt3742284', 'tt1993391', 'tt3245656', 'tt3488056');
[32m[2021/03/19 18:57:28][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 18:57:28][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 18:57:28][INFO][buildResponse]  210
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Sending request...
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Entity{entity=edu.uci.ics.jindongy.service.movies.model.Resquest.IDMRequest@68da3086, variant=Variant[mediaType=application/json, language=null, encoding=null], annotations=[]}
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Request sent.
[32m[2021/03/19 19:00:14][INFO][sendIDMRequest]  Received status 200
[32m[2021/03/19 19:00:14][INFO][checkPrivilege]  Reading response
[32m[2021/03/19 19:00:14][INFO][checkPrivilege]  Received resultCode: 141
[32m[2021/03/19 19:00:14][INFO][checkPrivilege]  Received Message: User has insufficient privilege level.
[32m[2021/03/19 19:00:14][INFO][search]  Sanitize input 
[32m[2021/03/19 19:00:14][INFO][resposeAfterQuery]  SQL Query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movie.movie_id,title,year,p.name as director,rating,backdrop_path,poster_path,hidden FROM movie LEFT JOIN person p ON p.person_id = movie.director_id LEFT JOIN genre_in_movie gim ON movie.movie_id = gim.movie_id LEFT JOIN genre g ON g.genre_id = gim.genre_id Where 1=1 AND movie.title LIKE '%10%' AND movie.hidden = 0 ORDER BY year desc, year desc LIMIT 10 OFFSET 0 
[32m[2021/03/19 19:00:14][INFO][resposeAfterQuery]  Receive result set
[32m[2021/03/19 19:00:14][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 19:00:14][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 19:00:14][INFO][buildResponse]  210
[32m[2021/03/19 19:00:15][INFO][thumbnail]  Execute SQL query
[33m[2021/03/19 19:00:15][WARNING][thumbnail]  com.mysql.cj.jdbc.ClientPreparedStatement: SELECT movie_id, title, backdrop_path, poster_path
FROM movie
WHERE movie_id in ('tt9036126', 'tt5792472', 'tt1179933', 'tt2990126', 'tt4126312', 'tt4510398', 'tt3742284', 'tt1993391', 'tt3245656', 'tt3488056')
ORDER BY FIELD(movie_id, 'tt9036126', 'tt5792472', 'tt1179933', 'tt2990126', 'tt4126312', 'tt4510398', 'tt3742284', 'tt1993391', 'tt3245656', 'tt3488056');
[32m[2021/03/19 19:00:15][INFO][buildResponse]  Response being built with Result: FOUND_MOVIE
[32m[2021/03/19 19:00:15][INFO][buildResponse]  Found movie(s) with search parameters.
[32m[2021/03/19 19:00:15][INFO][buildResponse]  210
[32m[2021/03/19 19:00:17][INFO][sendIDMRequest]  Send request to IDM Privilege
[32m[2021/03/19 19:00:17][INFO][sendIDMRequest]  Build uri: http://127.0.0.1:12346/api/idm
[32m[2021/03/19 19:00:17][INFO][sendIDMRequest]  Building client...
[32m[2021/03/19 19:00:17][INFO][sendIDMRequest]  Building WebTarget...
[32m[2021/03/19 19:00:17][INFO][sendIDMRequest]  Starting invocation builder...
[32m[2021/03/19 19:00:17][INFO][sendIDMRequest]  Sending request...
